GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DHT,de.weltraumschaf.dht.collection,KBucket,152,0,12,0,33,0,18,0,12,0
DHT,de.weltraumschaf.dht.collection,ConcurrentHashSet,85,0,8,0,19,0,15,0,11,0
DHT,de.weltraumschaf.dht,Main.new Runnable() {...},45,0,4,0,10,0,4,0,2,0
DHT,de.weltraumschaf.dht,CliOptions,38,0,0,0,15,0,13,0,13,0
DHT,de.weltraumschaf.dht,DhtService,46,0,2,0,11,0,6,0,5,0
DHT,de.weltraumschaf.dht,ClientContact,63,0,0,0,8,0,3,0,3,0
DHT,de.weltraumschaf.dht,Clock,2,54,1,1,1,14,1,6,0,6
DHT,de.weltraumschaf.dht,Node,54,0,0,0,12,0,6,0,6,0
DHT,de.weltraumschaf.dht,Main,229,0,6,0,62,0,19,0,16,0
DHT,de.weltraumschaf.dht,Clock.SystemTimeSource,2,3,0,0,1,1,1,1,1,1
DHT,de.weltraumschaf.dht.server,Server.State,58,0,0,0,2,0,4,0,4,0
DHT,de.weltraumschaf.dht.server,Server.new CompletionHandler() {...},32,0,0,0,6,0,3,0,3,0
DHT,de.weltraumschaf.dht.server,ConnectionQueue,30,0,0,0,9,0,6,0,6,0
DHT,de.weltraumschaf.dht.server,Server,238,17,15,1,51,2,16,1,8,1
DHT,de.weltraumschaf.dht.server,RequestWorker,292,0,22,0,42,0,18,0,7,0
DHT,de.weltraumschaf.dht.server,PortValidator,3,28,0,8,1,8,1,8,1,4
DHT,de.weltraumschaf.dht.shell,CommandMainType.new Object() {...},19,0,0,0,1,0,1,0,1,0
DHT,de.weltraumschaf.dht.shell,CommandSubType,5,135,0,0,0,15,1,4,1,4
DHT,de.weltraumschaf.dht.shell,CommandMainType,61,107,3,0,7,13,4,4,2,4
DHT,de.weltraumschaf.dht.shell,InteractiveShell,285,0,18,0,58,0,17,0,8,0
DHT,de.weltraumschaf.dht.shell,DhtCommandVerifier.new Object() {...},7,47,0,0,0,1,0,1,0,1
DHT,de.weltraumschaf.dht.shell,CommandArgumentExcpetion,9,0,0,0,2,0,1,0,1,0
DHT,de.weltraumschaf.dht.shell,DhtCommandVerifier,85,52,3,2,17,17,5,5,2,4
DHT,de.weltraumschaf.dht.shell,DhtLiteralCommandMap,0,55,0,6,0,10,0,6,0,3
